sentiment,review_body,product_category
-1,This dress either runs large or just has too much fabric. ordered my usual size  but it is too long and too baggy to do a thing for me. embroidery pretty  but background is more of a muddy gray  then denim as shown. if the smaller size in petite was available  i'd have exchanged it  but it is going back.,Dresses
-1,"I saw this dress in the catalog and had to have it. when i went to the store it was sold out so i had them order and ship it to me in two sizes - my regular and one size larger. when i got them  i tried on my regular size first and it was just perfect! beautiful pattern and material. light and airy. sexy with the low-cut ""keyhole."" i am sooo happy with my purchase.",Dresses
-1,So disappointed in the abundance of polyester fabrics that retailer carries these days. especially at this price point. the pattern and style of this dress is beautiful  but i will never spend two hundred dollars (or even half that) on a poly dress. please add more linen  cotton  and silk!,Dresses
-1,I sized down as other reviewers suggested (usually an 8  went down to 6) and the dress fit fine--but it was not attractive. the cut was like a tent with an empire waist. really just not attractive. maybe it has to do with my body type  but compared to the model  this dress was so unflattering in-person. returned.,Dresses
-1,This dress is gorgeous as displayed at store. color is vibrant  but the one i ordered looked dull and wrinkles very easily. i wore it to a ceremony and the seatbelt left me wrinkled before i arrived. the top is very wide and best to wear strapless.,Dresses
-1,The dress is just ok. i cannot imagine having paid full price for this. i got it for florida vacation. i put it on to wear to church first and spilled a drop of lavender oil on it and it stained!!!! cant get it out. thats punk for a dress that even on sale is like.   sending back,Dresses
-1,This reminded me of big bird in person and just adds volume to your body. i'm thin and usually wear a size 0  so i'm not sure who this may look good on.,Dresses
-1,Was so excited to get this dress because i thought it was cute and i love flowy and big dresses - however this looks huge. the material is not soft so it doesn't fall well. it just stays proofed out so from the back you look like a giant!!,Dresses
0,"This dress has great potential. i happen to have a longer torso so the fit was off. as a previous review stated  it's short waisted and a lot a skirt which i agree  the hem is also funky. i am still deciding if i want to keep it  but if i do  i plan on altering the skirt to be narrower and hemming it a bit shorter too. for reference  i'm 5'3"" and weigh 110 and i purchased a size 0.",Dresses
0,It looks so cute and i love the detail on this dress but it was not flattering on me. light summer dress and that was exactly what i needed but i had to exchange it with something else.,Dresses
0,If you're tall  this dress sits up too high-waisted and this makes your waist look big. it's also kind of thin material on top and stretchy  so even though i'm small chested it made my shoulders and chest look large  but not on a good way. in other words  this dress made me look fat. the length is not bad for taller gals. all in all  not worth it.,Dresses
0,I have the long sleeved version of this dress and was super excited to try on the sleeveless version  but it just didn't work nearly as well. the armholes are huge and will definitely show quite a bit of bra. the black pattern was also nothing special. i like the mock turtleneck and the dress has a nice swingy feel - would consider getting it if it went on sale.     i tried on the small and the extra small - didn't notice a difference between the two. i think i have on the xs in the photo.,Dresses
0,"I don't know that i'll keep this  although i really want to. i love the style and the fabric  and the length is perfect for me (i'm 5'3"" and i ordered the petite length - it hits me below the knee). as another reviewer mentioned  this dress runs small in the chest area and does not provide any stretch. luckily for me  that wasn't an issue.    my trouble is this: the liner stops just above the slits on the side  and it's way more noticeable in person than in the photo. the liner is sewn in and yo",Dresses
0,After reading all the reviews  i ordered up a size. the problem isn't that it runs small. it's that they took the bodice of a true size and stuck it on the skirt of a small size. or if you want to think of it differently - the bodice of a large size on to the skirt of a true size. the 4 top with the 6 bottom would be perfect. unfortunately - you get a size 4 fitted bodice with a skirt that puckers at the back and shows all your flaws (spare tire) or a size 6 that is atrociously long in the torso,Dresses
0,This pretty bohemian dress is murdered by the horrible rayon fabric with metallic thread that feels like little needles pricking my skin. i have a pretty high itch tolerance as wool doesn't bother me too much. i'm not sure how most of the reviewers are tolerating this dress  even with the slip  which doesn't cover the arms and makes me want to tear this dress off. i decided to keep and wear as an autumn/winter dress in which i will remove the slip  wear a deep scoop neck long sleeve top undernea,Dresses
0,Just got this dress in an xl. i've never ordered from retailer before so i expected their clothes to run small. i was wrong. it's a beautiful high quality dress but i think it's just too big. i may end up exchanging it for a l. definitely size down in this dress!,Dresses
0,I really like the color and flow of this dress. the dress itself fit well however the slip was extremely tight through the bust. i have a large bust at 34d however most dresses are still wearable especially flowy dresses. unfortunately i had to return this one because of the slip.,Dresses
1,Purchased this in the burnt orange color - very nice!  will be lightweight for our hot  humid summers but has a bit of pizazz with the lace up front.  the slip is nicely made with strap attachments in the shoulders so they do not slip.  i wear a ton of dresses in the summer so this will definitely be a go to item for all the horse races we attend.   looking forward to snagging a nice derby style hat to match!,Dresses
1,I really like this dress. it has a very flattering cut and a stretchy forgiving fit so you could go your normal size or up a size and both would fit great. i got the red (orange) and i have worn it once and got 3 compliments in the few hours i was out.  great buy! especially on sale ;),Dresses
1,"I see me wearing this dress with more of an edgey look - not going for romantic. smoky eye  skinny dark jeans under it and pumps. swings further from body than i thought.  i'm 5'7""  wear a 34b and am typically a size 2. that's the size i bought. fits well and while pretty  it's made with heft ... not overly delicate - can't see this snagging. it's more of a cotton lace which is why it looks cool with skinny jeans. detail at the neck gives it more interest.",Dresses
1,Simple  classic  figure flattering  and reasonably priced!,Dresses
1,"Was so glad i gave this dress a chance - it's adorable! it does run large. i am 5'6""  125lb and the 2 fits perfectly. it is super comfortable. i am taking away a star only because it doesn't have pockets - with all of the fabric - how were pockets left out?",Dresses
1,The fabric is breathtaking  both the jewel tone colors and the burnt velvet that would flatter any skin tone. as usual  eva franco clothes run small so i went up a size  size regular 6 (i am 5ft2in  34b  26 waist  36 hips) fit well  the hem is below my knees  appropriate for work. but i think it would look better as a skirt or a sheath dress. the top part looks strange  does not enhance any curve and turns the dress to frumpy on short folks like me  thus one star off.,Dresses
1,"I'm glad they put up some pix of non-models looking cute in this dress  as it's taken a beating in the reviews! i measure 34(a)-27-35 and have no problems with the size s fit at all. it's drapey but not voluminous  with no pulling at the hips. the ""folded"" detail up at the top does call attention to the shoulders  but not in a bad way. the pleated neckline is cute on a small chest  and the red pattern/palette is awesome. love the length too -- i am 5'4"" & the size s hits me just above the knee.",Dresses
1,If you are curvy  this dress is for you. every details is flattering  from the seams to the fit-and-flare cut. true to size. this dress will easily cross seasons. love it!,Dresses
1,Because of how much i have been buying recently  i didn't *want* to like this dress. i just tried it on because it's such a classic dress. i'll probably wear it all year-round  dress it up or down  and it'll probably last for ages. so i tried it and it's cute. and flattering. and practical. and the scallop neckline in the back is just enough of a tease to be fun without being too obvious. (it does get a bit cold though so adding a scarf is recommended  though maybe not the davy crockett one the,Dresses
-1,Seemed pretty shapeless which surprised me because of the design. perhaps it was just too big. returned it.,Fine gauge
-1,I know this is supposed to look oversized  and i own a few oversized ponchos  but this takes oversized to a whole new level.  i ordered it in my usual size and it was just waaaaay too much fabric - i do not think sizing down would have made a difference.  if you are looking for that  it seemed like good qualify.,Fine gauge
-1,"This is a very pretty sweater  a bit boxy and short but cute. i am 5'1"" and ordered the regular xs in black. the thing i did not like about this sweater was the gold thread through the back lace. i would have kept this if it was plain black lace. just did not like that look.",Fine gauge
-1,I really liked the design. ordered a medium which was huge. also thought i would not be able to tolerate it because of the material -- a bit itchy. returned it.,Fine gauge
-1,After washing this top pilled terribly. it is beautiful  but only for one use.,Fine gauge
-1,I was very disappointed when it arrived and had elbow length sleeves. from the photo  it looked like full length sleeves. it went back.,Fine gauge
-1,Had to return this for a couple of reasons: 1) was too small! it's made like one of those tiny mittens that stretches to fit any size hand. i didn't bother to order a size up because i wasn't sure whether to go from a small to a medium or to a large. 2) the main color isn't grey  like the picture. it's a black and white checkered pattern. so  it doesn't look at all grey irl.    i'm still recommending because  if you get the right size  and like the colors  it will be a nice  light and comfy swea,Fine gauge
-1,"This top looks great on the model -- a petite frame  small-busted body.  i am 5'2"" and have a large bust and curvy hips. this top hit in all the wrong places. the front looks very cropped and frumpy  if you have a large bust. the width of the top of very boxy.  the top is very soft and comfortable and the color is pretty.",Fine gauge
-1,The pattern and fabric are lovely  but the sleeves are short (unlike the photo) so it drapes very strangely. i personally could not figure out how to wear it so that it looked anything remotely like the photo. had to return this one.,Fine gauge
0,I really wanted to love this sweater after reading the reviews but when i received it i was sadly disappointed. it is pretty boxy and not much shape. could be cute for casual outfits but i was looking for some dressier sweaters.,Fine gauge
0,I ordered the pink  and it was gorgeous. the color and feel were so soft  i would have kept it if it were a blanket. but i did send it back because as a sweater  it just didn't lay right. it has a sort of inside layer that just didn't fit right with the outside sweater layer  so it ended up puffing up on the sides at the waist. that was not flattering. and the hood was too large and floppy looking. too bad.,Fine gauge
0,"This is a very lightweight  comfy sweater jacket. i wanted to love but didn't find it ""special"" enough for the price. i am usually between a small and medium and tried on both sizes in the gray and the navy. the small fit snug in the shoulder but i liked how the layering showed at the bottom of the front. that look was lost on the medium  though the general fit was better. in the end  the looked medium too sloppy for my taste  and the small felt too small.",Fine gauge
0,I have a collection of this artist's paintings throughout my home. she is a favorite. i was so excited to see the first clothing item offered at retailer. i ordered it at full-price. it looks the same in person as in the photos. the fit was true to size--it fits me as shown on the models. the knit was comfortable. the problem was the printed fabric. it was so flimsy and kept attracting static. no matter what i tried  i couldn't get the static problem solved. it was unwearable because of how messy,Fine gauge
0,Unfortunately this piece has a very boxy cut and the white layer is stiff and billows out - i am tall and thin but this made me look pregnant - very unflattering. i considered trying a smaller size  but i did not like the material too much either so i just returned it.,Fine gauge
0,Love the design with the buttons down the back but unfortunately this did not work for me. the colors were brighter than shown on the website which was my first disappointment  i prefer more muted colors. the second disappointment was the material. for me it was just too itchy. unfortunately  this one's going back.,Fine gauge
0,I love the style of this top. hand washed before wearing and it looks like a rag before i even got to wear it. very disappointed since i thought it would be a very practical tank.,Fine gauge
0,First of all i love cashmere so by default i love this sweater shawl. the photos are a bit odd because you can wear it two different ways. if you wear it so it's long in front then the back comes up a bit higher and vice versa. my only big complaint is that i've worn it twice and there's already a large hole in the arm seam. poor construction which is disappointing. hopefully mine was a one-off. i'd recommend it but definitely wait for a sale.,Fine gauge
0,It's just ok. very thin and feel like it might say and stretch. color is very nice but much thinner and sheer we than what i wanted.,Fine gauge
1,Yes  it is big. but it is also amazing. so soft  the colors are great  and the hood  well  the hood makes it. great colors for fall. it's a poncho. it's not supposed to be fitted. i'll be wearing this all fall through winter. love it.,Fine gauge
1,I love this little topper. it is very comfortable. it looks elegant.,Fine gauge
1,"This is a cute sweater  i agree that it's slightly boxy partly because of the side pockets which i think are cute. the yellow is darker than it appears on my screen  more like a mustardy-gold which is not great on my skin tone. i think it's true to size  i got my usual retailer size: xspetite (i'm 34aa  26"" waist) and it fits just right. it's soft and a nice medium weight. on the packaging it was called a bomber  so i'd say it is cut a little like a bomber jacket.",Fine gauge
1,I was really drawn to this burgundy color on this sweater  but wasn't all that impressed with the style. as soon i tried it on  wow it is very flattering. the color is gorgeous  i can see myself using it with jeans  pencil skirts  pants. for reference it does run large  i am usually a x large but i got a large and fits beautifully.,Fine gauge
1,Love this top! it has a great retro vibe  and the colors are great. it is very soft and great quality! i was in between a size xs and small. i went with the small  and wish i had gone with the xs. i would definitely recommend this top!,Fine gauge
1,This is a gorgeous sweater! i purchased it in black and purple.,Fine gauge
1,Haha  the unifying theme in these reviews seems to be don't trust the picture! i was misled by the neckline  i thought i saw a structured kind of asian-inspired mockneck/funnel thing and instead the top has a foldover cowl which  with my full bust underneath it  refuses to pose as a mockneck for me. overall there isn't much structure here at all. but the print is beautiful and the sweater cozy without being itchy.,Fine gauge
1,I love  love  love this sweater.  it is slightly fitted so that is drapes beautifully.  notice it has 3/4 length sleeves which is fine for north caroline where it does not really get cold.  i purchased the blue and i wore it with fitted jeans.,Fine gauge
1,This top is so cute. a little cropped  light for a sweater tank in my opinion  and runs a little big so i sized down one size. beautiful fabric and fit  the ruffles are such a fun addition! definitely recommend with a high waisted pant or skirt for work - so cute!,Fine gauge
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
1,I love this robe and can't wait to wear it while i'm getting ready for my upcoming wedding. the only con that i can see is that the sleeves are a bit baggy  but other than that it's perfect!,Intimates
1,A finely laced sheer bustier along with a gown split along the sides makes for a lovely sleeping garment. the material is cooling and the lace is not itchy.,Intimates
1,Makes me feel like a sexy ice skater. true to size  i am 5'0 and 120 lb and both the small and medium fit. i kept the medium. love it!,Intimates
1,Looks exactly as it does in the pictures. very comfortable  loose flowing  and has a slip underneath it. i'm personally a little hesitant to buy clothes online because it's always a guessing game when it comes to figuring out what size. with that  i have wide hips/big thighs so i tend to vary between medium and large  but thankfully the medium fits like a glove!,Intimates
1,I've been looking for bralettes that provide some support but not binding/tight for night time and casual wear. this is a light weight bra  could be a little more supportive. pretty color  with nice lines. only downside is the retailer tag on the back - itchy (i need to remove it.),Intimates
1,This bra is so soft and comfortable i feel like i'm not wearing a bra at all  except i have the gentle support i need. the material is very thin and the pink color is see through  so not recommended under a white or see through shirt. perfect for sleeping or lounging in!,Intimates
1,Love this chemise. the lace detail is cute  the length of the skirt is longer than many of the night gowns you'd find in the cute  not frumpy category  and overall it is super soft and comfortable for lounging and sleeping. bought the large  and i'm normally around a size 8-10  between medium and large depending on the cut of the item. the large is slightly on the big size  so the straps move around when i sleep. not a big deal for me  so i kept it.,Intimates
1,I honestly just love the hanky panky brand. i know it sometimes feels a little extravagant to purchase their lingerie  but the quality  fit and style are so good that it is absolutely worth it. this piece is no exception. i don't normally purchase lingerie like this  but saw this chemise and decided to try it. just as the other pieces from this brand  it's comfortable and gorgeous- so high quality and classy. it's a great cut  the fabric is clearly lace  but beautifully done. and the feel is lov,Intimates
1,I was so excited to receive this in the mail. it fits true to size and is extremely flattering. so glad that i made this purchase,Intimates
-1,I built a new wardrobe around the three lovely velvet blazers: moss  copper and burgundy. they are soft  well-fitting  pretty linings and very satisfactory. this new version is stiff material  and ill-fitting. not coming in petite is a problem and it may fit others better  but it is too full across the front. with the stiff materials  this is a bad fit. disappointing and going back.,Jackets
-1,Should have listened 2 a previous review! while this is a very well made garment  it really does remind me of a bathrobe  and will be returning :( too bad because the fabric and stripes are really great. also...this runs very large. the extra small was more like a medium.,Jackets
-1,I ordered this vest in xxs  since i am usually an xs and was looking for a bit of a tighter fit on such a loose vest. even then  the vest looked like a large. not only was it incredibly loose - much looser than in looks in the picture - but the arm holes were huge too. it just looked too big  not artfully drapey.,Jackets
-1,This jacket was cute  however  i am normally a large with a bit of room to spare.  this has the irritating issue of not fitting under the arms and across the chest and shoulders.  it is not my shape as most other brands at retailer fit me. this jacket is not sized correctly.,Jackets
-1,"Beautiful fabric with soft drape. unfortunately the ""captain kangaroo"" pockets are awful. unless you have a straight up and down shape with no hips this is very unflattering. the pockets look like saddle bags and add a huge amount of fabric where most people don't want added bulk. very disappointing. returned.",Jackets
-1,"Runs extremely large. i got an xs and am 5'4"" 115lbs and this would have fit someone who typically wears a size 10-14 and is 5'6"" and above. very disappointed with the size. the quality of the fabric wasn't great either. i wanted it to work so bad but just didn't!",Jackets
-1,I have blazers in size 8 from this designer and they fit with room to spare. i understand this is a more fitted style  but it is still way too small. size 10 and size 12 were not much bigger. great colors and cute design  but just too small even if you do not plan on buttoning it. i hope they bring back this jacket but make it true to size.,Jackets
-1,This is the tiniest blazer i've ever purchased in a size 10. i usually wear an 8  but sized up based on other reviews and it was still too small. it's very attractive but please size true to size,Jackets
-1,I'm returning this jacket. i tried it on after it was delivered  and was happy with the weight  cut  and color  although it's more dusty mauve than it looks in the picture. however  the stitching and the zipper are of such poor quality that i doubt  it will last very long. i actually can't get the zipper to zip at all. it's very rough and lightweight  and i'm afraid if i keep trying to force it i'll just end up breaking it. sorry to say yet another retailer item turns out to be poor quality.   thi,Jackets
0,I saw this jacket and loved the plaid and the idea of a soft sherpa material as a lining was hard to pass up1it was true to size and the material was very nice. however  the button closure was difficult as the buttonholes seemed a bit too small. also  the back of the jacket did not lay flat and it kept rolling.... i had to return this jacket.,Jackets
0,"The kimono is as pictured. the colors are true to what is shown on line  though the description indicates ""green multi""--it is not green. i returned the item  however. the quality is fine  but it seemed extremely over-priced to me. it seems to me that half the price would be fair for the quality.",Jackets
0,I was searching for the perfect large comfy sweater for the cold winter weather ahead and i thought this would be it. it looks so cute in the pictures but when i received in by mail it wasn't what i was searching for. this sweater  like on the model  is quite large. although i wanted a large sweater  the fit of this one didn't fit well on me. it has more of a boxy feel to it. i usually wear a medium  but went with a small because i expected this to fit a little large and it still engulfed me. i,Jackets
0,This jacket is cozy  warm  and very cute  but after the 1st washing (according to the manufacturer's instructions) it began to pill and has worsened each time.,Jackets
0,Very pretty but runs tight - i usually wear an 8 or small/med in retailer jackets and couldn't zip up the 8 (am a 36c and thick/broad at the top) as there is no give. this is also more like a fitted shirt  made of lightweight muslin-like fabric. was looking for a summer jacket to wear over knits in a chilly  air conditioned office setting so sadly it didn't work for me. could be cute on someone with a smaller frame over a tank or cami.,Jackets
0,I live in ny and bought his coat for the winter  thinking since it was made out of wool it would be warm. this coat is extremely thing  more like a spring/fall coat and therefore i don't think the price justifies the quality. i am going to return and consider repurchasing if it goes on sale. i also wish it had a button or way of keeping it closed rather than just hang loosely.,Jackets
0,The vest looks  so stylish on. it makes a regular t shirt look edgy with it on. i love the vest but the price is too high,Jackets
0,I snagged this the first day i wore it with my wedding ring. it is very delicate and i can't wear it when i'm with my kids because they pull on it so much! it will just me by night out wrap i guess!!!,Jackets
0,I've been looking at this jacket on line and finally went to the store to try it on. i really liked the styling but the denim was quite stiff. i'd prefer a softer kind of fabric. i wonder if it would soften if it was washed. also  it ran surprisingly small. i usually take an xsmall or small but the small didn't leave me enough room to comfortably bend my arms. the medium worked better. i wonder how others feel about the fabric and and the sizing. i think i'll wait and see if this one goes on sal,Jackets
1,Great looking jacket with attitude. the color is more like a faded black or deep charcoal grey. i'm usually a large petite but this is snug in the chest. luckily it's a knit so i can make it work by zipping it partway and leaving the top half open.,Jackets
1,When i ordered this little jacket i knew i would like it  upon arrival i fell in love. it is a little edgy with leather detailing and with stretch in all the right places  the crop is super flattering. appeared online to be a bit more of a sweatshirt material but it has so much structure and holds its shape!,Jackets
1,The sherpa vest i received from retailer was the color the model is wearing.. the same hue and shade of both the faux shearliing and faux leather. i'm very satisfied with the vest. i believe it runs a bit large. i usually wear a large  sometimes an extra large yet the m/l fit me fine. shearling is very in this year and this will complete your look-wearing either pants or skirts.,Jackets
1,I love this jacket. it's the prettiest and most stylish jean jacket i've ever owned. the sleeves run small. i'm an xs but chose a small so i can button it and wear thin sweaters underneath.,Jackets
